alintataw,"(2) невозможность илитщательно (из-за помех, плохого"
alit,"ссора, вражда; конфликтpag-alitán враждовать (из-за"
way,"ng liwanag вор, грабительриться (из-за чего)"
bagal,"медлительность, нетороплидерживаться (из-за чего)"
bagbág,"1. разбившийся, разломанрушаться (из-за чего) 2. терпеть"
bagbág,"1. разбившийся, разломанкрушение (из-за чего)"
"to,","Bagong Tipán Новый Завет,в новой обстановке (из-за чего)"
"balahò,","balahô 1. болото, топь, тря(из-за чего)"
"balda,","baldá 1. упущение, оплош(из-за чего)"
bayakíd,"1. помеха, препятствие2. падение из-за помехи"
bentaha,"превосходство, преимупревосходство (из-за чего)"
bingí,1. глухой 2. бесплодная2. оказаться бесплодной (из-за
sód,"ng из-за, в связи с"
burá,"чистка, соскабливание(из-за чего)"
kahog,"1. поспешность, спешка 2. заkákahóg-kahóg смущенный (из-за"
kasí,"1. потому что, так как 2. из-за"
kimáng,"1. неловкий, неуклюжий,гаться из-за ограниченности про-"
dahil,I. причина II. (обычно передsa) из-за; так как; потому что
dalá,I. 1. несомое (в руках); ношане; из-за
bayan,"чувство Родины, патриожиться (из-за чего)"
dimití,связ. к.(из-за чего)
gawâ,"1. дело, деяние; поступок 2. радение ◊ gawâ ng так как; из-за того,"
ginhawa,"I. благополучие; удобство,(из-за чего)"
hagulgól,"громкий плач, рыдание(из-за кого, из-за чего)"
hapis,"скорбь, тоска(из-за чего)"
hatíd,"I. 1. проводы, сопровождениением, воздействием; из-за"
hingutyâ,смущение (из-за несостоя-
hirá,"I. путаница; ошибка, промахянность (из-за чего)"
abala,"1. заботы, хлопоты 2. затрудвнимание от чего-л."
"alwan,","alwán легкость, удобство;ство (от чего)"
amputá,связ. к.от чего)
awás,I. 1. вычитание 2. отправлеотнимать (от чего) 2. снимать
ayaw,I. нежелание; нелюбовь II. неваться (от чего)
bigtás,"1. распоротый, порванныйpagbigtasán отрывать (от чего)"
kabkáb,"(1) 1. откусывание, сдираkabkabán откусывать (от чего)"
kagát,(1) I. 1. укус 2. откушенныйkagatán откусывать (от чего)
kawas,"освобождение, избавление,спасение от чего-л."
kibkíb,"изгрызанный, обглоданныйkibkibán откусывать (от чего)"
kakulangán,"1. нехватка, недостанимать (от чего),"
kulì,"отмена; отказ, отречение(от чего)"
kurit,1. щипок 2. отщипнутый кусокkuritan отщипывать (от чего)
gadgád,1. трение на тёрке (отделениеgadgarán оттирать (от чего)
ling,"sa ibá с чужого плеча, из чужихходить, брать начало (от чего,"
gilit,"разрезание на куски, ломтиgilitán 1. отрезать (от чего) 2. пе-"
hangò,I. 1. извлечение 2. заимстводенный от чего-л. 2. лингв. заим-
hangò,I. 1. извлечение 2. заимстводить (от чего)
hangò,"I. 1. извлечение 2. заимствоот чего-л. 3. избавлять, освобож-"
hangò,I. 1. извлечение 2. заимстводать от чего-л. 4. снимать с огня
hinalig,беспомощная зависимостьот чего)
hiwà,"1. резание, нарезание ломти(от чего)"
hiwalay,"отделение, отрывот чего)"
hulì,"дряхлый, старческийреть, дряхлеть (от чего)"
laway,(1) 1. слюна 2. слизь (на(из-за чего)
lingón,1. оглядывание назад 2. вы(голову) 2. смотреть назад (из-за
lunod,1. потопление 2. смерть отkalunuran тонуть (из-за чего)
lungkót,"1. печаль, грусть 2. тоска,ся (из-за чего)"
lumuwát,задерживаться (без некладываться (из-за чего)
"manyapa,","manyapa ba’t, manyapa’tтак как, из-за"
paniká,неурожай риса (из-за вы-
puwíng,"1. инородное тело, соринкаство, дискомфорт (от чего, из-за"
puyat,"бодрствование, бдение(из-за недосыпания)"
salupinít,(2) не в духе (из-за плохо-
samâ,"1. сущ. плохое, дурное 2. зло,хим (из-за чего)"
