ikápanganyayà,происходить(из-за чего)
ikápag-aral,"учить, изучать(из-за чего)"
ipagpaaral,"использовать для пла(в связи с чем, из-за чего)"
ikaayaw,не любить (из-за чего)
ikabaák,раскалываться (из-за чего)
ikababà,"понижаться, снижаться(напр. о ранге, статусе) (из-за"
ikabaklá,приходить в замешательство (из-за чего)
ikabagabag,"беспокоиться, тревожиться (из-за чего)"
ikabagbág-loób,"приходить в расстройство, смятение (из-за чего)"
ikabagót,"раздражаться, сердитьсяII. раздражаться (из-за чего)"
ikabagót,"раздражаться, сердиться(из-за чего)"
ikábagsák,"1. падать, сваливаться(из-за чего) 2. терпеть крах; про-"
ikábagsák,"1. падать, сваливатьсяваливаться на экзамене (из-за чего)"
ikabahalà,"беспокоиться, волноваться (из-за чего)"
ikábahín,чихать (из-за чего)
ikabainat,заболеть вновь (из-за
ikabalam,"задерживаться, опаздывать (из-за чего)"
ikabalbál,разбиваться на куски(из-за чего)
ikabalì,"ломаться, обламываться(из-за чего)"
ikabalík,возвращаться (из-за чего)
ikabalino,"беспокоиться, тревожиться (из-за чего)"
ikabalisa,"волноваться, беспокоиться (из-за чего)"
ikabalo,овдоветь (из-за чего)
ikábanggâ,сталкиваться (из-за
ikábanggít,упоминать (из-за чего)
ipagbangon,восставать (из-за чего)
ikabaog,стать бесплодной (из-за
ikábaón,погрузиться во что-л.;погрязнуть в чем-л. (из-за чего)
ikabawa,"сокращаться, уменьшаться(из-за чего)"
ikabigát,1. становиться тяжелым(из-за чего) 2. становиться тяже-
ikabigát,"1. становиться тяжелымлым, серьезным (из-за чего)"
ikabigô,терпеть неудачу (из-за чего)
ikabihag,стать пленником (из-за
ikabihasa,"привыкать, приучатьсяк чему-л. (из-за чего)"
ikábilanggô,оказаться в тюрьме(из-за чего)
ikabingit,оказаться на краю (из-за
ikabiyák,раскалываться (из-за
ikabiyuda,овдоветь (из-за чего)
ikabiyudo,овдоветь (из-за чего)
ikabukó,потерпеть неудачу (из-за
ikabugnót,раздражаться (из-за чего)
ikabulabog,сниматься с места(из-за чего)
ikabulag,слепнуть (из-за чего)
ikabulók,"гнить, портиться (из-за"
ikábunggô,сталкиваться (из-за
ikabuô,формироваться (из-за чего)
"ibuti,",ikabuti улучшаться (из-за
